time,amplitude,label,wind_speed
0.101,0.04004,1,1.3
0.102,0.07983000000000001,1,1.3
0.103,0.02586,1,1.3
0.104,0.00137,1,1.3
0.105,-0.02812,1,1.3
0.106,0.01813,1,1.3
0.107,0.0178,1,1.3
0.108,0.03279,1,1.3
0.109,-0.02029,1,1.3
0.11,0.12768,1,1.3
0.111,-0.04937999999999999,1,1.3
0.112,-0.01969,1,1.3
0.113,-0.057499999999999996,1,1.3
0.114,-0.0225,1,1.3
0.115,-0.02531,1,1.3
0.116,-0.019090000000000003,1,1.3
0.117,-0.01227,1,1.3
0.118,0.01877,1,1.3
0.119,0.03198,1,1.3
0.12,-0.02912,1,1.3
0.121,0.12090999999999999,1,1.3
0.122,-0.020699999999999996,1,1.3
0.123,-0.034030000000000005,1,1.3
0.124,-0.01518,1,1.3
0.125,-0.01057,1,1.3
0.126,0.012650000000000002,1,1.3
0.127,0.01941,1,1.3
0.128,-0.035140000000000005,1,1.3
0.129,0.026340000000000002,1,1.3
0.13,0.045840000000000006,1,1.3
0.131,-0.07014000000000001,1,1.3
0.132,0.00878,1,1.3
0.133,-0.08548,1,1.3
0.134,0.01635,1,1.3
0.135,0.00926,1,1.3
0.136,-0.03032,1,1.3
0.137,-0.011869999999999999,1,1.3
0.138,0.07177,1,1.3
0.139,0.13606000000000001,1,1.3
0.14,-0.049280000000000004,1,1.3
0.141,0.04632,1,1.3
0.142,0.04648,1,1.3
0.143,0.04035999999999999,1,1.3
0.144,0.10561,1,1.3
0.145,-0.00566,1,1.3
0.146,0.01796,1,1.3
0.147,0.032299999999999995,1,1.3
0.148,0.0265,1,1.3
0.149,-0.01719,1,1.3
0.15,0.05373,1,1.3
0.151,0.01829,1,1.3
0.152,0.0381,1,1.3
0.153,-0.0585,1,1.3
0.154,-0.03965,1,1.3
0.155,-0.013680000000000001,1,1.3
0.156,-0.03012,1,1.3
0.157,0.00604,1,1.3
0.158,0.02505,1,1.3
0.159,0.10189999999999999,1,1.3
0.16,-0.03022,1,1.3
0.161,-0.012570000000000001,1,1.3
0.162,-0.051789999999999996,1,1.3
0.163,0.10303,1,1.3
0.164,0.01651,1,1.3
0.165,0.00894,1,1.3
0.166,0.039709999999999995,1,1.3
0.167,-0.02491,1,1.3
0.168,-0.027620000000000002,1,1.3
0.169,-0.026410000000000003,1,1.3
0.17,0.00234,1,1.3
0.171,0.07,1,1.3
0.172,-0.01999,1,1.3
